DrugID	DrugName	AvgRank	AvgScore
DB00898	Ethanol	0.0	45.161983
DB01159	Halothane	1.0	43.16003
DB00122	Choline	2.0	43.14888
DB08837	Tetraethylammonium	3.0	43.13791
DB09061	Cannabidiol	4.0	42.539684
DB01028	Methoxyflurane	5.0	42.23697
DB01593	Zinc	6.0	42.215298
DB00431	Lindane	7.0	42.20001
DB08846	Ellagic acid	8.0	41.99393
DB01236	Sevoflurane	9.0	41.99343
DB00753	Isoflurane	10.0	41.83299
DB00915	Amantadine	11.0	41.80545
DB04216	Quercetin	12.0	41.774605
DB00515	Cisplatin	13.0	41.75543
DB01373	Calcium	14.0	41.70909
DB01110	Miconazole	15.0	41.650013
DB00435	Nitric Oxide	16.0	41.484623
DB09130	Copper	17.0	41.464527
DB01189	Desflurane	18.0	41.431274
DB00228	Enflurane	19.0	41.316
DB02709	Resveratrol	20.0	41.309166
DB11348	Calcium Phosphate	21.0	41.249767
DB00526	Oxaliplatin	22.0	41.21168
DB08231	Myristic acid	23.0	41.14038
DB00127	Spermine	24.0	41.089306
DB11093	Calcium Citrate	25.0	41.0187
DB01043	Memantine	26.0	40.937782
DB00958	Carboplatin	27.0	40.860973
DB00325	Nitroprusside	28.0	40.718983
DB06637	Dalfampridine	29.0	40.665337
DB15584	Luteolin	30.0	40.624966
DB00755	Tretinoin	31.0	40.60624
DB00331	Metformin	32.0	40.43542
DB03566	Spermidine	33.0	40.417435
DB00675	Tamoxifen	34.0	40.4062
DB01204	Mitoxantrone	35.0	40.3941
DB08838	Agmatine	36.0	40.365677
DB01645	Genistein	37.0	40.32439
DB03095	Tetramethylammonium Ion	38.0	40.303883
DB09462	Glycerin	39.0	40.301437
DB00536	Guanidine	40.0	40.295483
DB01143	Amifostine	41.0	40.263237
DB00818	Propofol	42.0	40.209675
DB01440	gamma-Hydroxybutyric acid	43.0	40.156075
DB00793	Haloprogin	44.0	40.12916
DB00909	Zonisamide	45.0	40.110607
DB01103	Quinacrine	46.0	40.10584
DB01074	Perhexiline	47.0	40.09923
DB00257	Clotrimazole	48.0	40.088768
DB00661	Verapamil	49.0	40.07985
DB00648	Mitotane	50.0	40.067375
DB00531	Cyclophosphamide	51.0	40.062824
DB00273	Topiramate	52.0	40.062214
DB00466	Picrotoxin	53.0	40.051853
DB09498	Strontium chloride Sr-89	54.0	40.04748
DB01136	Carvedilol	55.0	39.938644
DB00738	Pentamidine	56.0	39.935772
DB11090	Potassium nitrate	57.0	39.9177
DB01169	Arsenic trioxide	58.0	39.916172
DB00555	Lamotrigine	59.0	39.884193
DB00313	Valproic acid	60.0	39.881577
DB01917	Putrescine	61.0	39.84072
DB00653	Magnesium sulfate	62.0	39.84041
DB00988	Dopamine	63.0	39.82293
DB03796	Palmitic Acid	64.0	39.818615
DB01115	Nifedipine	65.0	39.811333
DB01852	Kaempherol	66.0	39.80309
DB09031	Miltefosine	67.0	39.79741
DB00564	Carbamazepine	68.0	39.77241
DB00252	Phenytoin	69.0	39.767338
DB01093	Dimethyl sulfoxide	70.0	39.762672
DB00316	Acetaminophen	71.0	39.739063
DB00740	Riluzole	72.0	39.68567
DB01942	Formic acid	73.0	39.6712
DB00592	Piperazine	74.0	39.65801
DB01174	Phenobarbital	75.0	39.630054
DB11633	Isavuconazole	76.0	39.611088
DB00255	Diethylstilbestrol	77.0	39.599655
DB02530	gamma-Aminobutyric acid	78.0	39.590042
DB00371	Meprobamate	79.0	39.553288
DB03128	Acetylcholine	80.0	39.54727
DB04147	Lauryl Dimethylamine-N-Oxide	81.0	39.541527
DB00411	Carbamoylcholine	82.0	39.51888
DB02261	Platelet Activating Factor	83.0	39.496002
DB00756	Hexachlorophene	84.0	39.47389
DB05381	Histamine	85.0	39.473484
DB02375	Myricetin	86.0	39.465557
DB00583	Levocarnitine	87.0	39.46198
DB00321	Amitriptyline	88.0	39.41951
DB00847	Cysteamine	89.0	39.406128
DB00482	Celecoxib	90.0	39.383495
DB00201	Caffeine	91.0	39.38093
DB00831	Trifluoperazine	92.0	39.379715
DB01245	Decamethonium	93.0	39.353546
DB00347	Trimethadione	94.0	39.338776
DB00184	Nicotine	95.0	39.330074
DB01181	Ifosfamide	96.0	39.324013
DB00356	Chlorzoxazone	97.0	39.323044
DB00478	Rimantadine	98.0	39.290054
DB00617	Paramethadione	99.0	39.28193
DB01356	Lithium cation	100.0	39.277107
DB01370	Aluminium	101.0	39.26767
DB07352	Apigenin	102.0	39.257618
DB03166	Acetic acid	103.0	39.256836
DB01296	Glucosamine	104.0	39.25348
DB00575	Clonidine	105.0	39.225967
DB00996	Gabapentin	106.0	39.19432
DB00145	Glycine	107.0	39.18312
DB02779	Dodecane-Trimethylamine	108.0	39.179775
DB09161	Technetium Tc-99m sestamibi	109.0	39.175816
DB00381	Amlodipine	110.0	39.14998
DB13146	Fluciclovine (18F)	111.0	39.131855
DB06894	1-DODECANOL	112.0	39.111984
DB04827	Urethane	113.0	39.11083
DB08960	Hexamethonium	114.0	39.107494
DB00458	Imipramine	115.0	39.10529
DB00169	Cholecalciferol	116.0	39.08621
DB11780	Allicin	117.0	39.08455
DB04572	Thiotepa	118.0	39.082886
DB01244	Bepridil	119.0	39.077393
DB00382	Tacrine	120.0	39.076202
DB03467	Naringenin	121.0	39.071198
DB00477	Chlorpromazine	122.0	39.060726
DB00883	Isosorbide dinitrate	123.0	39.046852
DB00599	Thiopental	124.0	39.04671
DB00470	Dronabinol	125.0	39.022377
DB00763	Methimazole	126.0	38.991425
DB11386	Chlorobutanol	127.0	38.98874
DB05260	Gallium nitrate	128.0	38.974598
DB09148	Florbetaben (18F)	129.0	38.96905
DB01026	Ketoconazole	130.0	38.944504
DB04445	Mercuric iodide	131.0	38.912064
DB00363	Clozapine	132.0	38.910492
DB00142	Glutamic acid	133.0	38.901627
DB03902	Oxalic Acid	134.0	38.900803
DB01956	Taurine	135.0	38.8972
DB01023	Felodipine	136.0	38.878414
DB01094	Hesperetin	137.0	38.873627
DB00250	Dapsone	138.0	38.865803
DB01068	Clonazepam	139.0	38.85491
DB03017	Lauric acid	140.0	38.83873
DB00513	Aminocaproic acid	141.0	38.83274
DB09479	Rubidium Rb-82	142.0	38.82991
DB00878	Chlorhexidine	143.0	38.826153
DB04813	Bithionol	144.0	38.814865
DB00602	Ivermectin	145.0	38.807205
DB15581	Chrysin	146.0	38.78755
DB00568	Cinnarizine	147.0	38.77829
DB00501	Cimetidine	148.0	38.763775
DB01127	Econazole	149.0	38.73244
