DrugID	DrugName	AvgRank	AvgScore
DB12695	Phenethyl Isothiocyanate	31.8	42.382896
DB12319	Benzbromarone	50.0	41.780415
DB08231	Myristic acid	52.2	41.42298
DB00544	Fluorouracil	59.8	41.57258
DB08864	Rilpivirine	60.4	41.071583
DB00529	Foscarnet	60.6	41.84681
DB11157	Anthralin	62.2	41.660126
DB00997	Doxorubicin	64.2	41.607307
DB04272	Citric acid	69.8	41.20841
DB06246	Exisulind	78.0	40.938198
DB09130	Copper	81.8	41.64048
DB00091	Cyclosporine	82.0	41.30214
DB11638	Artenimol	87.6	42.242107
DB04786	Suramin	88.6	41.90981
DB00709	Lamivudine	90.6	41.01639
DB00266	Dicoumarol	94.2	40.70103
DB05105	Pleconaril	96.0	41.008083
DB00238	Nevirapine	98.2	40.431316
DB12332	Rucaparib	100.6	40.37043
DB00608	Chloroquine	102.0	40.4948
DB14680	Combretastatin A4	104.0	40.77424
DB06083	Tapinarof	105.0	40.61286
DB00975	Dipyridamole	106.2	40.46413
DB00625	Efavirenz	107.0	40.240772
DB01593	Zinc	108.6	41.126995
DB00300	Tenofovir disoproxil	112.0	40.75838
DB00945	Acetylsalicylic acid	113.8	40.260292
DB02709	Resveratrol	116.8	41.072052
DB05219	Crisaborole	121.6	40.33282
DB00718	Adefovir dipivoxil	123.0	40.58549
DB00773	Etoposide	123.6	40.595276
DB00244	Mesalazine	124.4	40.717
DB06176	Romidepsin	126.8	40.16335
DB01015	Sulfamethoxazole	130.6	40.492226
DB02701	Nicotinamide	131.6	40.08712
DB06414	Etravirine	135.6	40.08636
DB00795	Sulfasalazine	137.4	40.709454
DB04744	Lawsone	137.8	40.945
DB13044	Gossypol	138.4	40.120598
DB05676	Apremilast	143.6	40.34169
PJ34	PJ34	147.4	40.235714
DB01179	Podofilox	151.2	40.601208
DB07108	4'-FLUORO-1,1'-BIPHENYL-4-CARBOXYLIC ACID	161.2	40.07432
DB00173	Adenine	164.0	40.509865
DB08236	(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	169.4	39.75971
DB07715	Emodin	171.8	40.674957
DB00277	Theophylline	176.6	40.338875
DB07726	2-tert-butylbenzene-1,4-diol	179.8	39.92555
DB11793	Niraparib	180.4	39.732582
DB01229	Paclitaxel	180.8	39.725273
DB00203	Sildenafil	182.4	39.705803
DB00694	Daunorubicin	182.8	39.752914
DB11994	Diacerein	184.6	39.544067
DB04115	Berberine	186.4	39.899345
DB05015	Belinostat	186.6	39.567467
DB04209	Dequalinium	191.4	39.644398
DB00515	Cisplatin	194.2	39.84742
DB11799	Bictegravir	196.4	39.451843
DB09118	Stiripentol	197.2	39.556774
DB03247	Flavin mononucleotide	197.4	39.80973
DB08017	3-METHOXY-6-[4-(3-METHYLPHENYL)-1-PIPERAZINYL]PYRIDAZINE	198.8	40.08721
DB00480	Lenalidomide	200.6	39.308907
DB00445	Epirubicin	200.6	40.44172
DB08399	PICEATANNOL	208.6	40.506477
DB04462	Tetrabromo-2-Benzotriazole	209.6	39.656242
DB00440	Trimethoprim	210.0	39.408775
DB00328	Indomethacin	214.8	40.6974
DB01599	Probucol	215.6	39.630314
DB08880	Teriflunomide	215.8	39.364857
DB12451	SCY-635	218.0	39.70694
DB01025	Amlexanox	223.6	39.302696
DB12191	Obatoclax	227.0	39.29497
DB08168	7-AMINO-4-METHYL-CHROMEN-2-ONE	228.6	39.575813
DB01411	Pranlukast	231.4	40.713665
DB00170	Menadione	236.2	39.45346
DB00495	Zidovudine	236.4	39.76809
DB00649	Stavudine	241.6	39.574818
DB08846	Ellagic acid	244.4	40.44877
DB11672	Curcumin	245.4	39.02634
DB00862	Vardenafil	249.8	39.511295
DB07574	2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE	253.0	39.547676
DB12610	Ebselen	253.0	39.41747
DB05398	C31G	254.0	39.316875
DB09101	Elvitegravir	255.0	39.777824
DB08528	2-AMINO-6-(3,5-DIMETHYLPHENYL)SULFONYLBENZONITRILE	259.6	39.256935
DB11581	Venetoclax	261.8	38.907265
DB09462	Glycerin	265.6	39.070244
